FilePath,File,Set,NumberOfNodes,NumberOfArcs,Density,NumberOfPaths,AveragePathLength,StdvPathLength,InDegreeEntropy,OutDegreeEntropy,InDegreeHeterogeneity,OutDegreeHeterogeneity,BetweennessHeterogeneity,Modularity
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV1.rcp,EV1.rcp,SP,32,54,0.05443548387096774,24,3.8333333333333335,0.5527707983925666,0.7752107668722756,0.715537563594637,113.77777777777777,132.74074074074073,71.18696296296297,0.3408779149519891
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV10.rcp,EV10.rcp,SP,32,55,0.055443548387096774,25,3.28,0.530659966456864,0.4141240568744845,0.4141240568744845,206.15404958677686,206.15404958677686,98.08842105263157,0.2462809917355372
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV100.rcp,EV100.rcp,SP,32,61,0.06149193548387097,31,3.6774193548387095,0.5320136291119563,0.907667465836448,0.7777023694814583,116.40741736092448,151.08196721311475,91.99031638701058,0.2905133028755711
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV101.rcp,EV101.rcp,SP,32,80,0.08064516129032258,77,5.4935064935064934,0.7833225376623493,1.5472685872878702,1.5837834898268264,56.96,51.84,73.53014341029055,0.3125
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV102.rcp,EV102.rcp,SP,32,88,0.08870967741935484,76,5.25,0.813132345025283,1.7400702512876047,1.8492042474614323,52.36363636363637,50.77685950413223,52.34428750316088,0.2568440082644628
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV103.rcp,EV103.rcp,SP,32,59,0.059475806451612906,32,5.34375,1.4055553840030637,1.1467546084231885,1.2141266325632254,75.01292731973571,57.951163458776215,72.71766415642753,0.36426314277506466
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV104.rcp,EV104.rcp,SP,32,53,0.05342741935483871,23,4.043478260869565,1.2328214677180718,0.645245670517286,0.7752107668722756,146.91064435742257,106.81096475614098,118.54917675064472,0.3730865076539694
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV105.rcp,EV105.rcp,SP,32,70,0.07056451612903226,63,6.0,1.140871290543899,1.380087968849316,1.344091728918215,58.93224489795919,56.842448979591836,82.09332482528002,0.31020408163265306
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV106.rcp,EV106.rcp,SP,32,85,0.08568548387096774,64,5.109375,0.7729243878769773,1.597666218997247,1.7311375790626924,54.84955017301038,50.88110726643598,50.59270138579192,0.24
dataset\MT_Vanhoucke\MT30\Set 1 SP\EV107.rcp,EV107.rcp,SP,32,80,0.08064516129032258,86,5.755813953488372,0.7914667941972854,1.458462018810316,1.5366498974881582,56.64,47.68,70.40114082874737,0.301875
