ID;Name;WBS;Predecessors;Successors;Total Cost;Duration;Description;Optimistic;Most Probable;Pessimistic;d;o;m;p;Actual Duration;PAC;PRC;Remaining Duration;Actual Cost;Remaining Cost;Percentage Completed;Tracking;Earned Value (EV);Planned Value (PV);ad
1;START;1.1;;FS2;0.00;0;standard - no risk;99.00;100.00;101.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0;0.00;0.00;1.00;Finished;0.00;0.00;0.00
2;Creation of the activities plan and location;1.2;1FS;FS3;4000.00;40h;standard - skewed left;80.00;110.00;120.00;40.00;32.00;44.00;48.00;7d 3h;5900.00;0.00;0;5900.00;0.00;1.00;Finished;4000.00;4000.00;59.00
3;Asking City Hall Permission / License - email;1.3;2FS;FS4;200.00;240h;standard - skewed left;80.00;110.00;120.00;240.00;192.00;264.00;288.00;42d 3h;200.00;0.00;0;200.00;0.00;1.00;Finished;200.00;200.00;339.00
4;Receiving acceptance;1.4;3FS;"FS5;FS6;FS7;FS8;FS21";200.00;10h;standard - skewed left;80.00;110.00;120.00;10.00;8.00;11.00;12.00;1d 4h;200.00;0.00;0;200.00;0.00;1.00;Finished;200.00;200.00;12.00
5;Creation of a safety plan;1.5;4FS;FS9;640.00;16h;standard - skewed left;80.00;110.00;120.00;16.00;12.80;17.60;19.20;2d 6h;880.00;0.00;0;880.00;0.00;1.00;Finished;640.00;640.00;22.00
6;Contacting vegan restaurants and sponsors;1.6;4FS;"SS10;FS27;FS13";4800.00;240h;standard - skewed left;80.00;110.00;120.00;240.00;192.00;264.00;288.00;8d 6h;1400.00;3440.00;21d 4h;1400.00;3440.00;0.29;Started;1388.43;3800.00;70.00
7;Contacting the truck/stand company;1.7;4FS;FS14;2240.00;112h;standard - skewed left;80.00;110.00;120.00;112.00;89.60;123.20;134.40;8d 6h;1400.00;2780.00;17d 3h;1400.00;2780.00;0.33;Started;750.24;2240.00;70.00
8;Contacting / contract Music band/ DJ;1.8;4FS;FS14;2240.00;112h;standard - skewed left;80.00;110.00;120.00;112.00;89.60;123.20;134.40;8d 6h;1400.00;2400.00;15d;1400.00;2400.00;0.37;Started;825.26;2240.00;70.00
9;Approval of the security plan and coordination with the police;1.9;5FS;"FS14;FS24";200.00;160h;standard - skewed left;80.00;110.00;120.00;160.00;128.00;176.00;192.00;6d;200.00;0.00;25d 1h;200.00;0.00;0.19;Started;200.00;200.00;48.00
10;Design the Marketing Campaign;1.10;6SS;"FS11;FS12";3360.00;56h;standard - skewed left;80.00;110.00;120.00;56.00;44.80;61.60;67.20;8d 6h;4200.00;1920.00;4d;4200.00;1920.00;0.69;Started;2305.88;3360.00;70.00
11;Ordering posters and flyers;1.11;10FS;FS13;1200.00;10h;standard - skewed left;80.00;110.00;120.00;10.00;8.00;11.00;12.00;0;0.00;1200.00;1d 2h;0.00;1200.00;0.00;Not Started;0.00;1200.00;0.00
12;Preparing online campaign;1.12;10FS;FS13;800.00;40h;standard - skewed left;80.00;110.00;120.00;40.00;32.00;44.00;48.00;0;0.00;800.00;5d;0.00;800.00;0.00;Not Started;0.00;800.00;0.00
13;Start Marketing campaign;1.13;"11FS;12FS;6FS";FS27;500.00;240h;standard - skewed left;80.00;110.00;120.00;240.00;192.00;264.00;288.00;0;0.00;500.00;30d;0.00;500.00;0.00;Not Started;0.00;0.00;0.00
14;Cut the Circulation;1.14;"7FS;8FS;9FS";FS15;200.00;10h;standard - skewed left;80.00;110.00;120.00;10.00;8.00;11.00;12.00;0;0.00;200.00;1d 2h;0.00;200.00;0.00;Not Started;0.00;200.00;0.00
15;Installing the tent;1.15;"14FS;24FS";"FS16;FS18;FS17;FS19;FS20";320.00;16h;standard - skewed left;80.00;110.00;120.00;16.00;12.80;17.60;19.20;0;0.00;320.00;2d;0.00;320.00;0.00;Not Started;0.00;0.00;0.00
16;Installation of electricity/cabling;1.16;15FS;FS22;1000.00;24h;standard - skewed left;80.00;110.00;120.00;24.00;19.20;26.40;28.80;0;0.00;1000.00;3d;0.00;1000.00;0.00;Not Started;0.00;0.00;0.00
17;Stands Construction;1.17;15FS;FS22;1000.00;16h;standard - skewed left;80.00;110.00;120.00;16.00;12.80;17.60;19.20;0;0.00;1000.00;2d;0.00;1000.00;0.00;Not Started;0.00;0.00;0.00
18;Backstage Construction;1.18;15FS;FS22;1000.00;16h;standard - skewed left;80.00;110.00;120.00;16.00;12.80;17.60;19.20;0;0.00;1000.00;2d;0.00;1000.00;0.00;Not Started;0.00;0.00;0.00
19;Bathrooms construction/installation;1.19;15FS;FS22;500.00;8h;standard - skewed left;80.00;110.00;120.00;8.00;6.40;8.80;9.60;0;0.00;500.00;1d;0.00;500.00;0.00;Not Started;0.00;0.00;0.00
20;Tables installation;1.20;15FS;FS22;500.00;8h;standard - skewed left;80.00;110.00;120.00;8.00;6.40;8.80;9.60;0;0.00;500.00;1d;0.00;500.00;0.00;Not Started;0.00;0.00;0.00
21;Designing and Budgeting Christmas decoration;1.21;4FS;FS22;4800.00;48h;standard - skewed left;80.00;110.00;120.00;48.00;38.40;52.80;57.60;8d 6h;7000.00;800.00;1d;7000.00;800.00;0.90;Started;4307.69;4800.00;70.00
22;Installation of the decoration;1.22;"21FS;20FS;19FS;18FS;17FS;16FS";FS23;640.00;16h;standard - skewed left;80.00;110.00;120.00;16.00;12.80;17.60;19.20;0;0.00;640.00;2d;0.00;640.00;0.00;Not Started;0.00;0.00;0.00
23;Open circulation;1.23;22FS;FS25;200.00;8h;standard - skewed left;80.00;110.00;120.00;8.00;6.40;8.80;9.60;0;0.00;200.00;1d;0.00;200.00;0.00;Not Started;0.00;0.00;0.00
24;Hiring security guards;1.24;9FS;FS15;1120.00;56h;standard - skewed left;80.00;110.00;120.00;56.00;44.80;61.60;67.20;0;0.00;1120.00;7d;0.00;1120.00;0.00;Not Started;0.00;280.00;0.00
25;Technical Control;1.25;23FS;FS26;1000.00;8h;standard - skewed left;80.00;110.00;120.00;8.00;6.40;8.80;9.60;0;0.00;1000.00;1d;0.00;1000.00;0.00;Not Started;0.00;0.00;0.00
26;Placement of people and food;1.26;25FS;FS27;640.00;16h;standard - skewed left;80.00;110.00;120.00;16.00;12.80;17.60;19.20;0;0.00;640.00;2d;0.00;640.00;0.00;Not Started;0.00;0.00;0.00
27;Market opening;1.27;"13FS;26FS;6FS";FS28;24000.00;240h;standard - no risk;99.00;100.00;101.00;240.00;237.60;240.00;242.40;0;0.00;24000.00;30d;0.00;24000.00;0.00;Not Started;0.00;0.00;0.00
28;Market closing;1.28;27FS;FS29;200.00;10h;standard - no risk;99.00;100.00;101.00;10.00;9.90;10.00;10.10;0;0.00;200.00;1d 2h;0.00;200.00;0.00;Not Started;0.00;0.00;0.00
29;Cut circulation;1.29;28FS;"FS30;FS31";200.00;10h;standard - skewed left;80.00;110.00;120.00;10.00;8.00;11.00;12.00;0;0.00;200.00;1d 2h;0.00;200.00;0.00;Not Started;0.00;0.00;0.00
30;Cleaning;1.30;29FS;FS32;1000.00;10h;standard - skewed left;80.00;110.00;120.00;10.00;8.00;11.00;12.00;0;0.00;1000.00;1d 2h;0.00;1000.00;0.00;Not Started;0.00;0.00;0.00
31;Uninstallation;1.31;29FS;FS32;0.00;16h;standard - skewed left;80.00;110.00;120.00;16.00;12.80;17.60;19.20;0;0.00;0.00;2d;0.00;0.00;0.00;Not Started;0.00;0.00;0.00
32;Opening circulation;1.32;"30FS;31FS";FS33;200.00;8h;standard - skewed left;80.00;110.00;120.00;8.00;6.40;8.80;9.60;0;0.00;200.00;1d;0.00;200.00;0.00;Not Started;0.00;0.00;0.00
33;END;1.33;32FS;;0.00;0;standard - no risk;99.00;100.00;101.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0;0.00;0.00;0.00;Not Started;0.00;0.00;0.00
